r2qk2r/p3bpp1/2p2n2/2p4p/3p4/1PNB1N2/PBPP1PPP/R2Q2K1 w kq -,425
1N6/8/p7/1p3k1p/8/1r2B3/5K2/8 b - -,-187
7k/1b6/4P1p1/2r2p1p/p6P/Pp4P1/3R3K/5R2 b - -,28
6R1/8/1p3k2/3P4/2r1P3/5KP1/8/8 w - -,346
r4rk1/1b2b1p1/1q2p2p/1pn2p2/pP2pB2/P1P5/2QNBPPP/R4RK1 b - b3,-350
1r1qkb1r/2p2ppp/Q1p1pn2/3p4/3P1Bb1/1N2PN2/PPP2PPP/R3K2R b KQk -,23
r2r2k1/1p2b1pp/p2p4/P1pP4/2Pp3q/2R2PN1/1P1Q2PP/4R1K1 w - -,106
r2qk1nr/pp2p1bp/2n2pp1/2PpP3/Q7/2P2bP1/PP3P1P/RNB1KB1R w KQkq -,-461
3r4/6pk/5p1p/7P/3n2P1/3K4/R4P2/8 b - -,-298
r1bqk2r/5ppp/pp2p3/1p1pP3/1n3B2/8/PP2BPPP/R2QK1NR w KQkq -,345
r4rk1/4bpp1/b1q1p2p/p1pp3B/Pp3P2/1P1PP2P/1BP1Q1P1/R4RK1 b - -,-72
r4rk1/pp2bp1p/2np1p2/2p1p3/2P5/2N1P1Pq/PP1P1P1P/R1BQ1RK1 w - -,23
rnb2rk1/ppqnbpp1/2p4p/4p3/4P3/2N1BNP1/PPP2PBP/R2Q1RK1 w - -,143
r1bqk2r/pp3pb1/2np1pp1/2p5/3PP3/2P2NP1/PP4PP/R2QKB1R b KQkq -,-377
2r3k1/1b2bppp/1q2p3/1N6/P3p3/4P2P/1P2BPP1/3Q1RK1 b - -,-29
2rq1rk1/4bpp1/1n2p3/1Q1pP2p/1n1P4/1N2BN2/5PPP/R4RK1 w - -,115
2r5/7k/p1pPN2p/P7/2P5/2R1P1PK/5r2/8 b - -,55
r1bqkb1r/1p1p1pp1/p6p/2pPp3/2P5/3P4/PP2NPPP/R1BQK2R b KQkq -,-47
r1bqk2r/pp1n1ppp/2p5/2b5/2P1P3/2N4P/PPQ2PP1/R1B1KB1R w KQkq -,178
r4rk1/2B3b1/1N5p/5pp1/2p1n3/P3PB2/1P3PPP/4R1K1 b - -,-75
r1bqk2r/p3pp1p/2Q3p1/7n/2P5/8/P4PPP/bNB1KBNR b Kkq -,-290
r2q1r1k/1b2n1bp/1p2Nnp1/p7/5P2/P1N1P3/1P1B1QPP/3R1RK1 b - -,-101
rnb1k2r/4qppp/2pbpn2/pp6/3PN3/3B1NP1/PPP2P1P/R1BQ1RK1 b kq -,114
r1bq1rk1/pp3pb1/2np1ppp/2p5/2P1P2P/3P1N2/PP1NBPP1/R2QK2R b KQ -,-188
5Q2/1p5k/8/1P6/3q4/7P/4KP2/8 b - -,233
