FEN,Move
5r2/p5R1/1pk5/2p5/8/P6p/1PP2P2/6K1 w - - 0 30,g7h7
1k1b2r1/pp3pr1/4p3/4P3/1PR5/P3RNP1/5P2/6K1 w - - 1 29,e3d3
3b4/4k1p1/2p1p1p1/2P1P3/Pp1P1PK1/8/3N4/8 w - - 2 60,g4f3
4rrk1/pppq1ppp/3p1b2/4N3/4b1P1/2P1B2P/PPPQBP2/2KR2R1 b - - 0 15,e8e5
5r2/p3bp1Q/4p3/8/3p2k1/1P2P1P1/P5KP/2r5 w - - 0 34,h2h3
8/5k2/8/1p2KPP1/8/P7/2b5/4B3 b - - 2 59,c2d3
rnb1k2r/pp3pp1/2p1p2p/q2p4/1bPP3B/2nBPN2/PPQ2PPP/R4RK1 w kq - 0 11,b2c3
r1b2rk1/pp1n1ppp/4p3/1Bb5/3qP3/2B5/PPQ2PPP/2KR2NR b - - 6 12,d4f2
8/5p2/2n2k1p/1BP4P/4K1P1/8/8/8 b - - 6 52,c6e7
r5k1/1p1rqpn1/2ppb1p1/p1n4p/2P4R/1PN1NBP1/P2QPPKP/3R4 w - - 10 25,h4d4
rnbq1rk1/4bppp/pp1ppn2/8/P2NPP2/2N2B2/1PP3PP/R1BQ1RK1 b - - 1 10,a8a7
1nbq1rk1/4bppp/4p3/pB1nP3/Pp1N4/1N6/1P1BQPPP/5RK1 w - - 1 19,e2g4
6k1/3b3p/p1p3p1/1pP5/1P6/P4B1P/6P1/4K3 w - - 1 35,e1d2
b3r1k1/2q2pb1/4nnpp/1Pp1p3/2B1P3/1Q3NNP/3B1PP1/4R1K1 b - - 1 28,f6d7
rn3rk1/p3ppbp/2p1bnp1/qp6/3PP3/1QN2N2/PP1BBPPP/R3K2R w KQ - 4 11,b3c2
r1b2qk1/pp2n1bp/2n1p1p1/3pPr2/5B2/5NP1/PP3PBP/RN1QR1K1 w - - 3 14,d1d2
4rk2/p1P2ppp/6n1/3Q4/3R1pq1/P7/6PP/2RK4 w - - 13 35,d1c2
r2r2k1/P1p2ppp/1q2n3/8/Q7/5N2/1P4PP/R3R2K w - - 4 24,f3e5
8/1k1r2p1/1pq4p/3pPp1P/2p2P1B/PnQ5/1P4P1/1K2R3 b - - 7 38,d5d4
6k1/4n1p1/n1r1pp1p/1q5P/1pNPPPP1/pP6/P2Q4/B1R3K1 b - - 0 42,a6c7
2r3k1/p2q1ppp/bp2p1n1/3pP3/5B2/P1R1P1P1/1P1Q1PBP/6K1 b - - 0 22,h7h6
8/1pn4p/p5pk/2p5/8/2KB4/PP3PPP/8 w - - 2 31,c3c4
4r1k1/1R5R/5p2/5B2/3P2P1/3K1P2/r7/3n4 w - - 9 52,h7g7
1r2q1k1/2r1pp2/p5pb/P1p1Pn1p/1pB1NP2/2P5/1P2Q1PP/R2R2K1 w - - 11 27,g2g3
1Bb1kb1r/5pp1/3p3p/1p2p3/1n2P3/8/2PN1PPP/R3K2R w KQk - 0 24,e1g1
1r2r1k1/2nqppbp/pp1p2p1/2pP1P2/P1B1P3/NR6/1PP1Q1PP/5RK1 w - - 1 21,c4a6
r2q1rk1/4ppbp/pnp1bnp1/1p6/3PPB2/1QN2N2/PP2BPPP/R4RK1 w - - 3 13,b3c2
r1bq1rk1/ppp1bppp/2np1n2/4p3/4P3/1B1P1N2/PPP2PPP/RNBQ1RK1 w - - 0 7,c2c3
r3kb1r/1bqpnppp/p7/1p1P4/8/3B4/PPP1QPPP/R1B1R1K1 w kq - 1 13,c2c4
r1bq1rk1/5ppp/3p4/pB1np1b1/QN2P3/2P5/1P3PPP/R3K2R w KQ - 0 17,b4d5
3qr1k1/6r1/2N1p3/1PR5/3P2bp/4Q3/6P1/5RK1 b - - 1 36,d8c7
2r4r/3n4/pq1pkNp1/8/1p2PQ2/7P/PP3PK1/3RR3 b - - 0 31,d7f6
r2q1rk1/2p2ppp/pb1p1n2/n3p1B1/P2PP3/2P2NN1/R4PPP/3Q1RK1 b - - 2 17,e5d4
1nbk4/5p1p/p3p1p1/3pP3/1P3P2/1N6/P1B2KPP/8 w - - 1 29,b3d4
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,f2f3
r2k1b1r/pp1qnpp1/8/3p2PP/3N4/8/PP3PB1/2RQR1K1 w - - 1 22,g5g6
2r5/4b2p/6pk/1pp1P3/3pN3/1P1P3P/5PP1/4R1K1 b - - 1 29,c5c4
2rq1rk1/p4ppp/bn2pb2/2pP4/2P1B3/1QB3P1/P2N1P1P/3RR1K1 b - - 2 19,e6d5
r2qr1k1/1bpnbppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 w - - 5 13,d2f1
r1b2rk1/1p3ppp/5n2/p3q1N1/1n2p3/1QN3P1/1P2PPBP/R2R2K1 w - - 2 17,g5e4
1k1r3r/1pq1n2p/p4Q2/2nppP2/8/1PN5/PPB3PP/1KR4R b - - 0 21,e7c6
rn1qkb1r/pp2ppp1/2p2n1p/3b2N1/P1pPP3/2N5/1P3PPP/R1BQKB1R w KQkq - 0 8,e4d5
3qkb1r/1p1bpppp/p4n2/4P1B1/2r5/1NN5/PPP3PP/R2Q1RK1 b k - 0 13,f6g4
4R3/1p1r1kp1/p4p1p/P6P/1P2PKP1/8/8/8 w - - 9 64,e8b8
6k1/4p2p/2Rp2p1/1P1Pp3/4P3/6P1/1r3rB1/4R1K1 w - - 0 38,g2f1
r1b1k2r/4bp1p/p3p3/1pp1Pp1B/5P2/2N5/PPP3PP/2KR3R w kq - 0 16,g2g4
3r2k1/3q2p1/1n2Rr2/1p3PQP/3p4/1P4N1/5P2/R5K1 b - - 1 33,b6d5
r4rk1/pp1bppbp/2np1np1/q7/3NP3/1BN1BP2/PPPQ2PP/R4RK1 b - - 2 11,a8c8
r2q1rk1/pB2bppp/5n2/5bN1/1npP1B2/2N3P1/PP3P1P/2RQ1RK1 b - - 0 16,b4d3
r3n1k1/pp1b1r1p/3p1nq1/2pP1p2/P1P1pP2/4N3/1BP1B1PP/R3QR1K w - - 7 21,e1h4
3r1k2/p3b2p/2nppp2/1Np2p2/2P2P2/P3P3/1PK1BP1P/3R4 w - - 24 40,e2f3
8/p3b1k1/Pp2p1p1/1P2Pp1p/5PP1/5K1P/5B2/8 b - - 22 47,e7d8
r4rk1/6pp/1p2p1q1/p1npP3/1P1N4/P1R2PP1/4Q2P/2R3K1 b - - 0 23,a5b4
r2n2k1/1b3Ppp/3qp3/p7/2P1QP2/8/1P4PP/3R1R1K b - - 0 28,g8f7
r1q3k1/1p2nrpp/p3Np2/3pb3/3N4/1PnQBP2/P1P3PP/R4RK1 w - - 3 19,a2a4
2b1n3/5Rp1/3k4/3P4/2n1P1p1/6P1/6BP/6K1 b - - 0 33,c4e5
r1bqk2r/pp1n1ppp/4p3/2bpP3/3B1P2/2N5/PPPQ2PP/R3KB1R b KQkq - 0 10,c5d4
8/8/1k1R2p1/7p/pBp2K1P/2Pb2P1/8/5n2 b - - 28 46,b6b5
rr4k1/1bq1bppp/pp1p1n2/4p3/P2nP3/2N1BP2/NPPR2PP/R2Q1BK1 w - - 11 17,a2b4
2rqnrk1/3nbppp/b3p3/p2pP3/1p1P3P/5NP1/PP3PB1/R1BQRNK1 w - - 0 17,f3g5
r2qkb1r/pbp2ppp/4pn2/8/3P4/8/PPP1QPPP/R1B1K1NR w KQkq - 0 9,e2b5
1r4k1/Rb3pp1/1P1p4/4rP1p/4p2P/2p3P1/2P2PB1/1R4K1 w - - 2 30,b1b4
r4rk1/pb1n1ppp/1ppq1n2/3pN3/3P4/2N3P1/PP2PPBP/R2Q1RK1 w - - 2 13,f2f4
r1b5/1pB2k1p/2pp1rp1/4b3/p1P1P3/3R1P2/PP1R2P1/5BK1 b - - 3 28,e5f4
r1bqk2r/pp1pppbp/2n2np1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 5 7,f1c4
2r5/p4p2/1p3kp1/7p/8/1PPR4/P4PPP/6K1 b - - 0 36,b6b5
1kr1q3/pr6/Qn2p1p1/2B1P2p/P6P/2R5/2P2PP1/3R2K1 b - - 0 33,b8a8
2r4k/pp4p1/1q5p/3Prp2/1P1R4/5BP1/P2Q1NKP/8 b - - 1 31,c8d8
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQK2R w KQ - 0 7,e1g1
r1bqkb1r/pp3p1p/2np1pp1/8/2BNP3/2N5/PPP2PPP/R2QK2R b KQkq - 1 8,f8g7
r7/1b2kp1r/p1pp1np1/1p2p2q/PP2PP2/1BPPN1R1/R6P/5Q1K w - - 3 30,f4f5
r3k2r/pp1bbppp/4p3/2q3B1/6n1/2PB1N2/PP3PPP/R2QR1K1 w kq - 4 13,g5e7
r3qrk1/1p2bppp/p2pbn2/4p3/4P3/1PN1B3/PP2QPPP/R2RN1K1 b - - 2 14,h7h6
r1b4r/1p3Pb1/p2k3p/6p1/1P1p4/3P4/P1PQ1PPP/4R1K1 b - - 0 24,h8f8
1rrn4/1p1q3k/p2Ppbpp/2B2p2/8/1P4PP/P3QPBK/2RR4 w - - 0 27,c5b6
2b2k2/rpN2p1p/p1n3p1/5p2/4P3/2PB4/P1P2PPP/2K4R b - - 2 17,b7b5
r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 b kq - 1 6,f8e7
r2qr1k1/ppp2ppp/2n1pnb1/8/2pP1BPP/P1Q1PP2/1P2N3/R3KB1R w KQ - 0 14,e3e4
1rbr2k1/2q2pbp/1p2p1p1/3p2N1/5P2/P1P1B3/1P3QPP/3RR1K1 b - - 4 23,c8a6
2b2rk1/p2n2pp/1qp5/2p5/2PpP3/1P3N2/P1QB1PPP/R5K1 b - - 0 21,b6d8
2k1r3/2p1q2p/p1b3p1/1pn2p2/4P3/1BP1QP2/PP1N2PP/R2R1K2 b - - 1 21,g6g5
5rk1/4r1pp/p1q2p2/1pNp1P2/3Q4/3B1N1P/PPP5/7K w - - 2 26,h1g2
r1bqkb1r/1ppp1ppp/p1n5/4p3/B2Pn3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,b7b5
